7.9619e-16 3.1262e+03 7.9622e-16
8.1361e-16 3.2645e+03 8.1364e-16
8.3140e-16 3.4088e+03 8.3144e-16
8.4959e-16 3.5596e+03 8.4962e-16
8.6818e-16 3.7170e+03 8.6821e-16
8.8717e-16 3.8814e+03 8.8720e-16
9.0658e-16 4.0531e+03 9.0661e-16
9.2641e-16 4.2323e+03 9.2644e-16
9.4667e-16 4.4195e+03 9.4671e-16
9.6738e-16 4.6150e+03 9.6742e-16
9.8854e-16 4.8191e+03 9.8858e-16
1.0102e-15 5.0322e+03 1.0102e-15
1.0323e-15 5.2548e+03 1.0323e-15
1.0548e-15 5.4871e+03 1.0549e-15
1.0779e-15 5.7298e+03 1.0780e-15
1.1015e-15 5.9832e+03 1.1015e-15
1.1256e-15 6.2478e+03 1.1256e-15
1.1502e-15 6.5242e+03 1.1503e-15
1.1754e-15 6.8127e+03 1.1754e-15
1.2011e-15 7.1140e+03 1.2011e-15
1.2274e-15 7.4286e+03 1.2274e-15
1.2542e-15 7.7571e+03 1.2543e-15
1.2817e-15 8.1002e+03 1.2817e-15
1.3097e-15 8.4584e+03 1.3097e-15
1.3383e-15 8.8325e+03 1.3384e-15
1.3676e-15 9.2231e+03 1.3677e-15
1.3975e-15 9.6310e+03 1.3976e-15
1.4281e-15 1.0057e+04 1.4282e-15
1.4593e-15 1.0502e+04 1.4594e-15
1.4913e-15 1.0966e+04 1.4913e-15
1.5239e-15 1.1451e+04 1.5240e-15
1.5572e-15 1.1958e+04 1.5573e-15
1.5913e-15 1.2486e+04 1.5914e-15
1.6261e-15 1.3039e+04 1.6262e-15
1.6617e-15 1.3615e+04 1.6617e-15
1.6980e-15 1.4217e+04 1.6981e-15
1.7352e-15 1.4846e+04 1.7352e-15
1.7731e-15 1.5503e+04 1.7732e-15
1.8119e-15 1.6188e+04 1.8120e-15
1.8516e-15 1.6904e+04 1.8516e-15
1.8921e-15 1.7652e+04 1.8921e-15
1.9334e-15 1.8432e+04 1.9335e-15
1.9757e-15 1.9247e+04 1.9758e-15
